Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
15732, 24727, 38701, 42992, 46002, 37195, 27309, 31667, 35627
14829, 23734, 36408, 44593, 45698, 38183, 28214, 32828, 36106
16295, 23750, 35521, 40467, 43652, 33960, 28233, 30862, 34098
13335, 23835, 33895, 39033, 43093, 35125, 26861, 30840, 33765
14013, 21915, 35455, 41840, 43824, 33421, 27266, 33659, 36023
12865, 22395, 39331, 43400, 45621, 35653, 28245, 34769, 32613
14978, 22413, 35975, 43010, 45081, 36620, 28396, 30864, 34584
13622, 24344, 41024, 42311, 45453, 36071, 27521, 34743, 35470
13873, 23211, 34439, 41368, 46041, 37535, 27646, 32315, 37090
14472, 24182, 37210, 42374, 45935, 37854, 27590, 31581, 34900
14860, 23889, 36313, 43005, 44952, 36252, 28002, 30913, 33808
14018, 23590, 37422, 43569, 43840, 35896, 27896, 34992, 35739
16469, 23323, 35128, 40730, 43263, 34750, 35577, 30839, 34644
13540, 22304, 38391, 41095, 44651, 33534, 26583, 30691, 35200
14286, 24125, 38593, 40896, 43744, 37080, 35628, 31075, 34339
15753, 23109, 36213, 54662, 50069, 36348, 35016, 33733, 36357
13617, 22997, 36293, 41591, 44907, 35845, 26917, 49270, 37672
13995, 25351, 39863, 44059, 45113, 34190, 28551, 31019, 33729
13593, 24825, 37884, 41868, 43608, 35442, 27743, 31938, 36302
13946, 22447, 36692, 41927, 44496, 34361, 26249, 30830, 35930
13446, 23412, 38123, 42280, 45012, 35239, 27823, 34318, 33475
36962, 33853, 41299, 47348, 47757, 36359, 30234, 32887, 37187
14641, 24927, 38641, 43808, 46107, 35415, 28985, 34947, 35672
14698, 24981, 40233, 42582, 46203, 35814, 28421, 30082, 33576
14608, 24593, 36169, 42900, 43289, 34347, 27795, 31433, 34714
14830, 25159, 38443, 44804, 47129, 36204, 28922, 31425, 35742
14916, 24140, 38141, 44359, 46879, 36353, 27816, 31969, 35776
14507, 26597, 38353, 42880, 46190, 38322, 29600, 35599, 35477
14721, 24664, 39087, 41732, 46418, 35384, 28807, 34483, 35007
16869, 21839, 39669, 39366, 45647, 35759, 28698, 32036, 34678
14402, 22573, 35974, 42684, 44486, 35307, 28724, 31160, 36324
17493, 23442, 38751, 40624, 46234, 36379, 36663, 30677, 33797
